destination,commodity_form,year,shipments
Cardiff,deals,1895,46
Dundee,battens,1881,46
Glasgow,ends,1895,46
Grangemouth,pit props,1875,46
Grangemouth,timber,1891,46
Greenock,squares,1883,46
Grimsby,firewood,1889,46
Grimsby,hoops,1883,46
Hartlepool (West),firewood,1897,46
Hull,wood,1893,46
Hull,wood pulp,1874,46
Leith,hoops,1893,46
Liverpool,squares,1897,46
Liverpool,staves,1875,46
London,blocks,1889,46
London,boxboards,1895,46
London,flooring,1895,46
London,mouldings,1881,46
London,oars,1885,46
WISBECH,battens,1889,46
Yarmouth,deals,1893,46
Dublin,deals,1889,45
Dundee,battens,1895,45
Grangemouth,timber,1887,45
